objectid,cl,logradouro,codbairro,bairro,total_transações,uso,principais_tipologias,média_percentual_transferido,média_área_construída,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação,cd_utilizacao,mês_transação
14469293,023044,AVN GEREMARIO DANTAS,121,Pechincha                 ,6,RESIDENCIAL,APARTAMENTO,100,70.333333,188689.268333,188689.268333,COMPRA E VENDA,2012,01,3
14469294,023044,AVN GEREMARIO DANTAS,121,Pechincha                 ,9,RESIDENCIAL,APARTAMENTO,100,57.555555,160249.671111,160249.671111,COMPRA E VENDA,2012,01,6
14469295,023044,AVN GEREMARIO DANTAS,121,Pechincha                 ,4,RESIDENCIAL,APARTAMENTO,100,55.75,147661.66,147661.66,COMPRA E VENDA,2012,01,9
14469296,023044,AVN GEREMARIO DANTAS,121,Pechincha                 ,4,RESIDENCIAL,APARTAMENTO,100,52.5,110287.7625,110287.7625,COMPRA E VENDA,2012,01,12
14469297,023044,AVN GEREMARIO DANTAS,121,Pechincha                 ,2,RESIDENCIAL,CASA,100,313,370036.965,370036.965,COMPRA E VENDA,2012,01,3
14469298,031567,RUA MONSEN MARQUES,121,Pechincha                 ,2,RESIDENCIAL,APARTAMENTO,100,65.5,205181.51,205181.51,COMPRA E VENDA,2012,01,8
14469299,031567,RUA MONSEN MARQUES,121,Pechincha                 ,3,RESIDENCIAL,CASA,100,145,289273.7,289273.7,COMPRA E VENDA,2012,01,12
14469300,033902,ETR DO PAU FERRO,121,Pechincha                 ,12,RESIDENCIAL,APARTAMENTO,100,60.25,204556.268333,204556.268333,COMPRA E VENDA,2012,01,2
14469301,033902,ETR DO PAU FERRO,121,Pechincha                 ,13,RESIDENCIAL,APARTAMENTO,96.153846,64,195423.183076,205009.245384,COMPRA E VENDA,2012,01,5
14469302,033902,ETR DO PAU FERRO,121,Pechincha                 ,10,RESIDENCIAL,APARTAMENTO,100,63.5,193001.148,193001.148,COMPRA E VENDA,2012,01,8
14469303,033902,ETR DO PAU FERRO,121,Pechincha                 ,4,RESIDENCIAL,APARTAMENTO,100,66.5,223657.96,223657.96,COMPRA E VENDA,2012,01,11
14469304,036764,RUA RETIRO DOS ARTISTAS,121,Pechincha                 ,8,RESIDENCIAL,APARTAMENTO,100,79.875,255796.4275,255796.4275,COMPRA E VENDA,2012,01,6
14469305,036764,RUA RETIRO DOS ARTISTAS,121,Pechincha                 ,12,RESIDENCIAL,APARTAMENTO,100,70,226219.6125,226219.6125,COMPRA E VENDA,2012,01,9
14469306,036764,RUA RETIRO DOS ARTISTAS,121,Pechincha                 ,10,RESIDENCIAL,APARTAMENTO,100,73.5,269973.534,269973.534,COMPRA E VENDA,2012,01,12
14469307,037663,RUA SAMUEL DAS NEVES,121,Pechincha                 ,10,RESIDENCIAL,APARTAMENTO,100,63.5,188999.184,188999.184,COMPRA E VENDA,2012,01,3
14469308,037663,RUA SAMUEL DAS NEVES,121,Pechincha                 ,10,RESIDENCIAL,APARTAMENTO,100,67.5,203576.77,203576.77,COMPRA E VENDA,2012,01,6
14469309,037663,RUA SAMUEL DAS NEVES,121,Pechincha                 ,2,RESIDENCIAL,APARTAMENTO,100,91,248714.03,248714.03,COMPRA E VENDA,2012,01,9
14469310,040832,ETR DO TINDIBA,121,Pechincha                 ,2,RESIDENCIAL,APARTAMENTO,100,53.5,109740.65,109740.65,COMPRA E VENDA,2012,01,12
14469311,040840,RUA PROF HENRIQUE COSTA,121,Pechincha                 ,21,RESIDENCIAL,APARTAMENTO,100,61.761904,191956.78619,191956.78619,COMPRA E VENDA,2012,01,3
14469312,040840,RUA PROF HENRIQUE COSTA,121,Pechincha                 ,18,RESIDENCIAL,APARTAMENTO,94.555555,61.333333,180506.620555,190627.053333,COMPRA E VENDA,2012,01,6
14469313,040840,RUA PROF HENRIQUE COSTA,121,Pechincha                 ,10,RESIDENCIAL,APARTAMENTO,95,60.8,195601.491,201628.503,COMPRA E VENDA,2012,01,9
14469314,051706,RUA MINIST GABRIEL DE PIZA,121,Pechincha                 ,2,RESIDENCIAL,APARTAMENTO,100,48,118716.85,118716.85,COMPRA E VENDA,2012,01,2
14469315,051706,RUA MINIST GABRIEL DE PIZA,121,Pechincha                 ,3,RESIDENCIAL,APARTAMENTO,100,56.666666,161192.21,161192.21,COMPRA E VENDA,2012,01,8
14469316,103382,RUA PACO DO LUMIAR,121,Pechincha                 ,9,RESIDENCIAL,APARTAMENTO,100,59.444444,110988.7,110988.7,COMPRA E VENDA,2012,01,8
14469317,103382,RUA PACO DO LUMIAR,121,Pechincha                 ,9,RESIDENCIAL,APARTAMENTO,100,58.444444,109121.595555,109121.595555,COMPRA E VENDA,2012,01,11
14469318,021345,ETR MERINGUAVA,122,Taquara                   ,2,RESIDENCIAL,APARTAMENTO,100,57,138710.66,138710.66,COMPRA E VENDA,2012,01,5
14469319,021345,ETR MERINGUAVA,122,Taquara                   ,2,RESIDENCIAL,APARTAMENTO,100,62,148428.565,148428.565,COMPRA E VENDA,2012,01,8
14469320,021345,ETR MERINGUAVA,122,Taquara                   ,5,RESIDENCIAL,APARTAMENTO,100,58.4,150154.022,150154.022,COMPRA E VENDA,2012,01,11
14469321,051540,ETR CARIBU,120,Freguesia (Jacarepaguá)   ,2,RESIDENCIAL,APARTAMENTO,100,38.5,127828.115,127828.115,COMPRA E VENDA,2012,01,12
14469322,147371,RUA ULYSSES HELLMEISTER,120,Freguesia (Jacarepaguá)   ,2,RESIDENCIAL,CASA,100,166,387295.52,387295.52,COMPRA E VENDA,2012,01,3
14469323,199190,RUA ANA CRISTINA CESAR,120,Freguesia (Jacarepaguá)   ,2,RESIDENCIAL,APARTAMENTO,100,52,72628,72628,COMPRA E VENDA,2012,01,1
14469324,199190,RUA ANA CRISTINA CESAR,120,Freguesia (Jacarepaguá)   ,4,RESIDENCIAL,APARTAMENTO,100,46.75,69480.625,69480.625,COMPRA E VENDA,2012,01,8
14469325,011619,RUA ANA SILVA,121,Pechincha                 ,2,RESIDENCIAL,APARTAMENTO,100,140.5,523488.565,523488.565,COMPRA E VENDA,2012,01,4
14469326,011619,RUA ANA SILVA,121,Pechincha                 ,2,RESIDENCIAL,APARTAMENTO,75,83,248552.355,311106.495,COMPRA E VENDA,2012,01,7
